CustomerKey	GeographyKey	CustomerAlternateKey	Title	FirstName	MiddleName	LastName	NameStyle	BirthDate	MaritalStatus	Suffix	Gender	EmailAddress	YearlyIncome	TotalChildren	NumberChildrenAtHome	EnglishEducation	SpanishEducation	FrenchEducation	EnglishOccupation	SpanishOccupation	FrenchOccupation	HouseOwnerFlag	NumberCarsOwned	AddressLine1	AddressLine2	Phone	DateFirstPurchase	CommuteDistance
11000	26	AW00011000	NULL	Jon	V	Yang	0	1966-04-08	M	NULL	M	jon24@adventure-works.com	90000.00	2	0	Bachelors	Licenciatura	Bac + 4	Professional	Profesional	Cadre	1	0	3761 N. 14th St	NULL	1 (11) 500 555-0162	2005-07-22	1-2 Miles
11001	37	AW00011001	NULL	Eugene	L	Huang	0	1965-05-14	S	NULL	M	eugene10@adventure-works.com	60000.00	3	3	Bachelors	Licenciatura	Bac + 4	Professional	Profesional	Cadre	0	1	2243 W St.	NULL	1 (11) 500 555-0110	2005-07-18	0-1 Miles
11002	31	AW00011002	NULL	Ruben	NULL	Torres	0	1965-08-12	M	NULL	M	ruben35@adventure-works.com	60000.00	3	3	Bachelors	Licenciatura	Bac + 4	Professional	Profesional	Cadre	1	1	5844 Linden Land	NULL	1 (11) 500 555-0184	2005-07-10	2-5 Miles
11003	11	AW00011003	NULL	Christy	NULL	Zhu	0	1968-02-15	S	NULL	F	christy12@adventure-works.com	70000.00	0	0	Bachelors	Licenciatura	Bac + 4	Professional	Profesional	Cadre	0	1	1825 Village Pl.	NULL	1 (11) 500 555-0162	2005-07-01	5-10 Miles
11004	19	AW00011004	NULL	Elizabeth	NULL	Johnson	0	1968-08-08	S	NULL	F	elizabeth5@adventure-works.com	80000.00	5	5	Bachelors	Licenciatura	Bac + 4	Professional	Profesional	Cadre	1	4	7553 Harness Circle	NULL	1 (11) 500 555-0131	2005-07-26	1-2 Miles
11005	22	AW00011005	NULL	Julio	NULL	Ruiz	0	1965-08-05	S	NULL	M	julio1@adventure-works.com	70000.00	0	0	Bachelors	Licenciatura	Bac + 4	Professional	Profesional	Cadre	1	1	7305 Humphrey Drive	NULL	1 (11) 500 555-0151	2005-07-02	5-10 Miles
11006	8	AW00011006	NULL	Janet	G	Alvarez	0	1965-12-06	S	NULL	F	janet9@adventure-works.com	70000.00	0	0	Bachelors	Licenciatura	Bac + 4	Professional	Profesional	Cadre	1	1	2612 Berry Dr	NULL	1 (11) 500 555-0184	2005-07-27	5-10 Miles
11007	40	AW00011007	NULL	Marco	NULL	Mehta	0	1964-05-09	M	NULL	M	marco14@adventure-works.com	60000.00	3	3	Bachelors	Licenciatura	Bac + 4	Professional	Profesional	Cadre	1	2	942 Brook Street	NULL	1 (11) 500 555-0126	2005-07-12	0-1 Miles
11008	32	AW00011008	NULL	Rob	NULL	Verhoff	0	1964-07-07	S	NULL	F	rob4@adventure-works.com	60000.00	4	4	Bachelors	Licenciatura	Bac + 4	Professional	Profesional	Cadre	1	3	624 Peabody Road	NULL	1 (11) 500 555-0164	2005-07-28	10+ Miles
11009	25	AW00011009	NULL	Shannon	C	Carlson	0	1964-04-01	S	NULL	M	shannon38@adventure-works.com	70000.00	0	0	Bachelors	Licenciatura	Bac + 4	Professional	Profesional	Cadre	0	1	3839 Northgate Road	NULL	1 (11) 500 555-0110	2005-07-30	5-10 Miles
11010	22	AW00011010	NULL	Jacquelyn	C	Suarez	0	1964-02-06	S	NULL	F	jacquelyn20@adventure-works.com	70000.00	0	0	Bachelors	Licenciatura	Bac + 4	Professional	Profesional	Cadre	0	1	7800 Corrinne Court	NULL	1 (11) 500 555-0169	2005-07-17	5-10 Miles
11011	22	AW00011011	NULL	Curtis	NULL	Lu	0	1963-11-04	M	NULL	M	curtis9@adventure-works.com	60000.00	4	4	Bachelors	Licenciatura	Bac + 4	Professional	Profesional	Cadre	1	4	1224 Shoenic	NULL	1 (11) 500 555-0117	2005-07-02	10+ Miles
11012	611	AW00011012	NULL	Lauren	M	Walker	0	1968-01-18	M	NULL	F	lauren41@adventure-works.com	100000.00	2	0	Bachelors	Licenciatura	Bac + 4	Management	Gestión	Direction	1	2	4785 Scott Street	NULL	717-555-0164	2007-09-17	1-2 Miles
11013	543	AW00011013	NULL	Ian	M	Jenkins	0	1968-08-06	M	NULL	M	ian47@adventure-works.com	100000.00	2	0	Bachelors	Licenciatura	Bac + 4	Management	Gestión	Direction	1	3	7902 Hudson Ave.	NULL	817-555-0185	2007-10-15	0-1 Miles
11014	634	AW00011014	NULL	Sydney	NULL	Bennett	0	1968-05-09	S	NULL	F	sydney23@adventure-works.com	100000.00	3	0	Bachelors	Licenciatura	Bac + 4	Management	Gestión	Direction	0	3	9011 Tank Drive	NULL	431-555-0156	2007-09-24	1-2 Miles
